SampleID	Subject	Vendor	Time	Group
sample498	GR3	Guangdong	19	Resistant starch
sample499	GR4	Guangdong	19	Resistant starch
sample500	GR5	Guangdong	19	Resistant starch
sample501	GI1	Guangdong	19	Inulin
sample502	GI2	Guangdong	19	Inulin
sample503	GI3	Guangdong	19	Inulin
sample504	GI4	Guangdong	19	Inulin
sample506	GC1	Guangdong	25	Control
sample507	GC2	Guangdong	25	Control
sample508	GC3	Guangdong	25	Control
sample509	GC4	Guangdong	25	Control
sample510	GC5	Guangdong	25	Control
sample511	GR1	Guangdong	25	Resistant starch
sample512	GR2	Guangdong	25	Resistant starch
sample513	GR3	Guangdong	25	Resistant starch
sample514	GR4	Guangdong	25	Resistant starch
sample515	GR5	Guangdong	25	Resistant starch
sample516	GI1	Guangdong	25	Inulin
sample517	GI2	Guangdong	25	Inulin
sample518	GI3	Guangdong	25	Inulin
sample519	GI4	Guangdong	25	Inulin
sample521	GC1	Guangdong	31	Control
sample522	GC2	Guangdong	31	Control
sample523	GC3	Guangdong	31	Control
sample524	GC4	Guangdong	31	Control
sample525	GC5	Guangdong	31	Control
sample526	GR1	Guangdong	31	Resistant starch
sample527	GR2	Guangdong	31	Resistant starch
sample528	GR3	Guangdong	31	Resistant starch
sample529	GR4	Guangdong	31	Resistant starch
sample530	GR5	Guangdong	31	Resistant starch
sample531	GI1	Guangdong	31	Inulin
sample532	GI2	Guangdong	31	Inulin
sample533	GI3	Guangdong	31	Inulin
sample534	GI4	Guangdong	31	Inulin
sample266	HC1	Hunan	0	Control
sample267	HC2	Hunan	0	Control
sample268	HC3	Hunan	0	Control
sample269	HC4	Hunan	0	Control
sample270	HC5	Hunan	0	Control
sample271	HR1	Hunan	0	Resistant starch
sample272	HR2	Hunan	0	Resistant starch
sample273	HR3	Hunan	0	Resistant starch
sample274	HR4	Hunan	0	Resistant starch
sample275	HR5	Hunan	0	Resistant starch
sample276	HI1	Hunan	0	Inulin
sample277	HI2	Hunan	0	Inulin
sample279	HI4	Hunan	0	Inulin
sample280	HI5	Hunan	0	Inulin
sample281	HC1	Hunan	1	Control
sample282	HC2	Hunan	1	Control
sample283	HC3	Hunan	1	Control
sample284	HC4	Hunan	1	Control
sample285	HC5	Hunan	1	Control
sample286	HR1	Hunan	1	Resistant starch
sample287	HR2	Hunan	1	Resistant starch
sample288	HR3	Hunan	1	Resistant starch
sample289	HR4	Hunan	1	Resistant starch
sample290	HR5	Hunan	1	Resistant starch
sample291	HI1	Hunan	1	Inulin
sample292	HI2	Hunan	1	Inulin
sample294	HI4	Hunan	1	Inulin
sample295	HI5	Hunan	1	Inulin
sample296	HC1	Hunan	3	Control
sample297	HC2	Hunan	3	Control
sample298	HC3	Hunan	3	Control
sample299	HC4	Hunan	3	Control
sample300	HC5	Hunan	3	Control
sample301	HR1	Hunan	3	Resistant starch
sample302	HR2	Hunan	3	Resistant starch
sample303	HR3	Hunan	3	Resistant starch
sample304	HR4	Hunan	3	Resistant starch
sample305	HR5	Hunan	3	Resistant starch
sample306	HI1	Hunan	3	Inulin
sample307	HI2	Hunan	3	Inulin
sample309	HI4	Hunan	3	Inulin
sample310	HI5	Hunan	3	Inulin
sample311	HC1	Hunan	5	Control
sample312	HC2	Hunan	5	Control
sample313	HC3	Hunan	5	Control
sample314	HC4	Hunan	5	Control
sample315	HC5	Hunan	5	Control
