Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample406	46	GR1	Guangdong	6	0	Resistant starch	16252531.14	1118374.939	429802.4839	2892004.31	43313.42861	453125.0993	2295611.717	13888062.17	222120.1467	2764285.226
sample421	47	GR1	Guangdong	6	1	Resistant starch	46636401.39	7450383.049	1250810.804	2390387.98	170255.5541	1595862.061	4324491.075	14228824.18	43131.40705	4778505.886
sample436	48	GR1	Guangdong	6	3	Resistant starch	44970186.55	19838320.45	10886508.67	1159282.658	5642865.918	3289752.443	35262153.96	9827031.803	95967.10745	22943816.05
sample451	49	GR1	Guangdong	6	5	Resistant starch	32498855.78	4428083.902	5254659.564	187619.555	1308088.785	1999525.886	3483426.003	8774822.263	38048.72094	2000837.911
sample466	50	GR1	Guangdong	6	8	Resistant starch	51437313.95	11119578.89	5118083.981	236526.1528	585615.9566	2680154.779	1746873.875	8037614.626	74092.52979	3101912.257
sample481	51	GR1	Guangdong	6	13	Resistant starch	76401062.76	8914310.676	4122581.784	203039.3598	278958.4248	1521912.419	1345356.454	14938400.2	44138.99127	6483135.037
sample496	52	GR1	Guangdong	6	19	Resistant starch	58300258.99	29623500.23	4449818.789	143283.3616	3180354.988	1442207.293	397711.7606	21015785.76	74989.42287	4937250.038
sample511	53	GR1	Guangdong	6	25	Resistant starch	700670.6577	1623962.427	2739411.367	67958.02365	2917508.257	28994642.3	7334779.794	98421.96529	20298358.65	19644555.6
sample526	54	GR1	Guangdong	6	31	Resistant starch	178759542.8	7402709.572	494824.7655	835631.2266	7766454.929	1500859.223	2713343.748	8798705.268	399792.1947	13484794.11
sample407	55	GR2	Guangdong	7	0	Resistant starch	18285295.42	199475.95	2077505.079	2330174.616	60581.58482	2081937.878	1490898.026	12408881.69	437369.4904	4443142.086
sample422	56	GR2	Guangdong	7	1	Resistant starch	28709865.04	8537363.99	2696514.228	791561.82	152012.7371	2593802.919	1710485.663	17821096.82	67104.72177	3594895.809
sample437	57	GR2	Guangdong	7	3	Resistant starch	64804050.98	7421562.87	3204892.829	3007381.992	4362008.205	1511144.235	26261488.1	13192233.27	121115.136	11418362.36
sample452	58	GR2	Guangdong	7	5	Resistant starch	62325772.88	4264394.987	5957816.796	75699.31929	1017735.293	4169069.918	4903633.683	10569867.92	75699.31929	10491364.92
sample467	59	GR2	Guangdong	7	8	Resistant starch	36979415.53	6020414.969	4866636.147	160856.363	412377.2216	2526907.23	2389448.156	11868274.93	58493.22292	9857570.393
