Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample444	75	GI4	Guangdong	9	3	Inulin	122007715.8	8864849.728	7051848.72	19905300.67	13497429.9	1009478.961	2851487.985	2633927.864	58016.03225	5792900.82
sample459	76	GI4	Guangdong	9	5	Inulin	141772971.2	15168420.63	8948017.868	6729017.461	29774214.38	1291791.312	21150269.6	3591809.989	0	5554252.54
sample474	77	GI4	Guangdong	9	8	Inulin	112335577.7	8191298.825	2815820.078	6067701.182	20176133.03	420417.5811	260072.2711	8944139.61	41064.04281	1138060.615
sample489	78	GI4	Guangdong	9	13	Inulin	103585560.3	15820180.48	12601615.94	18583571.14	21076630.11	1601195.425	5757834.052	5295728.591	101663.2016	4535565.106
sample504	79	GI4	Guangdong	9	19	Inulin	221302435.4	28075708.86	5803078.301	21584008.17	41704693.75	817739.0931	326378.3223	26260901.93	86077.79928	702968.6941
sample519	80	GI4	Guangdong	9	25	Inulin	99900887.1	8382449.811	1223276.169	173798.7999	12185969.7	487973.5536	4010741.536	60161.12305	842255.7226	20174029.93
sample534	81	GI4	Guangdong	9	31	Inulin	42935273.7	2027954.244	11452634.16	8126714.713	325887.964	1024219.315	21285139.59	4104326.129	1851043.635	9117414.123
sample276	82	HI1	Hunan	10	0	Inulin	26756731.58	6592475.098	3650378.773	10330027.1	9761585.028	457659.4283	2488069.114	5486464.813	9360224.974	8463067.206
sample291	83	HI1	Hunan	10	1	Inulin	241904992.6	34179849.61	153830491.6	67470627.99	37072859.18	804397.7819	6399901.651	2970626.896	4932228.505	8897768.447
sample306	84	HI1	Hunan	10	3	Inulin	178577273.5	65581190.25	78831545.29	39055270.22	33176307.52	549577.1306	1815117.129	7956263.413	2894103.422	6347867.958
sample321	85	HI1	Hunan	10	5	Inulin	156390122.3	11213933.31	60456374.72	51385671.58	21978479.64	563462.1236	8268720.243	4694365.423	1337790.441	8403536.334
sample336	86	HI1	Hunan	10	8	Inulin	134672995.1	13178035.64	70332444.84	91349531.47	21360070.94	623983.5	39608489.06	7529125.411	1644671.742	8450637.467
sample351	87	HI1	Hunan	10	13	Inulin	178764761.5	41435602.26	40525337.96	73104440.16	33665846.31	515506.8203	7992677.817	3622480.359	1551164.666	464420.5588
sample366	88	HI1	Hunan	10	19	Inulin	303732867.6	47966554.63	39609460.12	153373049	17366615.62	878701.724	2383431.286	4193632.262	803276.6833	2296692.489
sample381	89	HI1	Hunan	10	25	Inulin	60862702.29	20369568.61	22815342.95	64028660.91	18779458.76	4144030.673	833084.4572	149741.2862	610849.3737	666705.2503
sample396	90	HI1	Hunan	10	31	Inulin	107319461.9	4633721.594	11837159.35	62652267.41	8403030.657	2158091.148	2111048.29	3986882.285	338120.5478	3243017.08
sample277	91	HI2	Hunan	11	0	Inulin	55264422.22	11508928.51	6618664.592	1959911.221	15447779.22	540719.8433	1996382.061	6548894.289	22443837.72	914942.3741
sample292	92	HI2	Hunan	11	1	Inulin	138460680.6	36542237.85	186661997.3	4844573.412	34025102.57	1824011.074	13289744.68	3418196.752	5938980.057	11750279.34
sample307	93	HI2	Hunan	11	3	Inulin	86374072	28530221.55	162323640	67064582.21	30031524.83	3854254.959	12212419.75	4877870.83	824351.9813	11781136.26
sample322	94	HI2	Hunan	11	5	Inulin	135737383.1	17299320.85	44283046.63	85175546.93	18248673.82	9870257.104	5399758.976	10779425.82	1074928.764	783592.9304
sample337	95	HI2	Hunan	11	8	Inulin	145258055.7	17530532.81	36703602.53	126619824.4	15961504.5	7416763.881	8534601.5	14876619.01	2598148.66	2694470.269
sample352	96	HI2	Hunan	11	13	Inulin	267526137.4	27194797.06	31099181.72	156813050.4	17399861.5	15617538.65	757879.2184	30273354.71	12481486.71	5049043.621
sample367	97	HI2	Hunan	11	19	Inulin	79231667.94	7161268.026	7686260.598	70031107.16	6794564.672	3510063.403	164884.6018	7373639.393	2733127.16	860038.0831
sample382	98	HI2	Hunan	11	25	Inulin	82888884.88	4755196.712	10261523.41	48164924.47	6885113.26	6855714.826	555630.404	3757119.875	2004973.204	5494567.329
sample397	99	HI2	Hunan	11	31	Inulin	52285245.49	4279486.927	6015579.151	39499037.3	3758267.365	5425124.91	161983.0216	2773306.088	483336.4355	1929426.798
sample279	100	HI4	Hunan	12	0	Inulin	22979427.88	3986238.1	9287796.988	1838905.372	8183393.877	498147.2765	2211985.885	2478017.729	15789148.89	1692640.852
sample294	101	HI4	Hunan	12	1	Inulin	63801900.24	31339960.3	292710902.3	9916689.959	21528927.62	1207511.715	5554553.889	11270109.34	6218685.332	4417480.357
sample309	102	HI4	Hunan	12	3	Inulin	20310084.21	3919612.403	148362390.4	33227702.65	9675125.183	1385651.045	1148310.312	540997.2595	638725.7967	3951025.147
sample324	103	HI4	Hunan	12	5	Inulin	437292.1601	34228960.38	313782.1607	160229.1884	69175613.99	46733.51329	357177.5658	40057.2971	176919.7289	96805.13467
sample339	104	HI4	Hunan	12	8	Inulin	122272778.9	28884718.94	24444896.5	147348978.9	15865379.48	11573896.1	1742121.47	17386717.24	3542888.612	6833945.804
sample354	105	HI4	Hunan	12	13	Inulin	197395555.9	35923530.75	17075878.94	97373962.76	9500714.164	13906745.57	695337.2787	17844761.51	5937110.61	7053661.817
sample369	106	HI4	Hunan	12	19	Inulin	80638153.81	10935695.67	11617518.52	66997717.29	3933083.172	4596334.972	395298.0726	6708128.702	3785841.273	4047162.482
sample384	107	HI4	Hunan	12	25	Inulin	58054452.65	3049815.09	9115538.606	51383762.89	3995632.525	4961972.415	119565.6004	1568629.294	739700.6171	514845.906
sample399	108	HI4	Hunan	12	31	Inulin	107768324.4	5057840.603	17214817.85	142625051.7	16078148.89	13414711.55	1143394.817	13212935.99	1557034.707	8158458.313
sample280	109	HI5	Hunan	13	0	Inulin	32864842.57	2833686.626	5095743.6	530431.1176	6396072.311	345037.7173	2304542.962	1122660.035	6053609.502	1888695.266
sample295	110	HI5	Hunan	13	1	Inulin	95497662.17	47103832.14	183335173.9	3630482.691	18114595.93	1479085.541	1500095.279	2664034.752	5840707.107	3672502.167
sample310	111	HI5	Hunan	13	3	Inulin	78540020.31	16684753.89	151946270.2	49383371.22	18751596.53	14172039.95	4033676.765	3425291.633	1079258.556	6938090.716
sample325	112	HI5	Hunan	13	5	Inulin	135809900.8	14880428.72	49616279.79	67491605.17	11573666.78	11623169.2	43740342.03	5940290.905	990048.4842	24231436.65
sample340	113	HI5	Hunan	13	8	Inulin	131634735.4	26898466.34	51277436.49	86677170.6	9970702.956	17132574.04	30409506.18	20094201.16	1501944.821	20347776.26
sample355	114	HI5	Hunan	13	13	Inulin	274846781	27946518.66	31000863.63	141208122.3	20229502.16	15566830.62	2050985.266	36917734.79	10825464.2	24882336.84
