SampleID	Subject	Time	Acetate	Propionate	Butyrate	Iso-butyrate	Iso-valerate	Valerate	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample213	BR3	13	27.61996647	6.865774032	5.497679407	0.558901009	0.242889681	0.511620574	44672924.88	15319893.75	856604.167	17576.11142	6716849.737	289543.3092	673442.5849	1542997.571	144309.1253	2308020.947
sample228	BR3	19	12.31379232	3.952262824	2.246628851	0.134644581	0.049451011	0.152272172	120432737.7	5338035.461	4929856.06	75295.22921	4418641.083	495363.3501	2361892.453	435919.7481	261551.8488	10133152.69
sample243	BR3	25	11.56451554	2.62978939	3.143692275	-0.007397971	-0.02179061	0.091024351	115959361.3	25174557.44	2068744.962	107574.738	5949710.51	339274.1737	16332741.47	136537.1675	146880.8923	2887967.966
sample258	BR3	31	27.8255991	6.934770324	5.794275316	0.399651849	0.13748996	0.504041831	57200254.6	6329988.331	2478816.569	110278.5423	4973562.26	377397.6783	8746313.725	58815.22259	465620.5121	6355719.991
sample139	BR4	0	21.64367604	3.95883073	2.736516544	0.369261023	0.171035502	0.170434397	26717362.66	21549231.35	1445712.244	2816375.717	7440744.565	357505.057	1692008.667	523294.6159	35477.60108	1666764.989
sample154	BR4	1	6.417581521	1.586978274	2.607055974	0.04320948	-0.00546156	0.222731984	39232277.56	43480094.41	633025.1207	613379.5135	1073959.86	1124165.3	5149331.93	209553.1434	69851.0478	5077298.037
sample169	BR4	3	13.05466054	5.506801981	5.069679807	0.423053333	0.150613577	0.441164318	31246619.5	38016248.25	732770.5269	66100.43413	2887644.679	679890.1796	503307.5913	358830.9281	41548.84431	1339950.229
sample184	BR4	5	14.33338212	5.373208117	5.991956167	0.266121394	0.090550554	0.505282755	76050395.15	29896697.89	1305192.952	65691.83069	1728732.387	447741.6881	914499.4325	1175538.023	32845.91535	1574875.204
sample199	BR4	8	16.30720656	6.054033	4.591342841	0.185927276	0.077150171	0.43270393	98774610	33982492.1	1605790.156	62279.07314	2853054.837	496549.3669	934186.0971	84160.90965	136340.6736	2114122.05
sample214	BR4	13	21.95051469	5.690568878	2.696572257	0.26044521	0.115384024	0.200409373	79944804.13	20845660.89	8607322.715	47426.45227	9639137.238	810876.6595	168884.4398	390979.0455	151533.2987	439562.2405
sample229	BR4	19	9.031134316	3.297915254	2.569668988	0.023075995	-0.010479988	0.185264502	83176757.64	12667593.6	2983464.586	217620.8767	5902231.074	492587.7952	9157721.756	341135.4283	176449.3595	1070459.447
sample244	BR4	25	8.647450184	2.500843693	3.652848868	-0.106345977	-0.105294382	0.106168505	121336277.7	14803965.87	13093093.09	129790.349	4210320.262	987193.2608	5579018.488	145522.5125	247781.5754	3645928.895
sample259	BR4	31	24.41336385	3.984207847	4.562419337	-0.004702752	0.009347406	0.134008532	84689141.15	3969967.942	3001683.078	195761.9399	5971791.65	496772.2345	9087142.951	84198.68382	850406.7066	8329354.797
sample140	BR5	0	7.491249574	1.564889834	0.597219276	0.074266814	0.04113937	-0.014783836	44766611.49	21104657.98	2521812.74	2770192.287	7735248.727	909880.1747	2392553.997	7910128.204	86172.49565	2978020.07
sample155	BR5	1	8.247479165	3.50920367	6.580089454	0.289613685	0.099137265	0.562962691	30537413.12	44664102.29	594113.0958	1746692.502	3043179.302	400036.1512	1345336.099	231043.9817	29045.52913	1036397.289
sample170	BR5	3	7.032478454	3.991422526	4.472896784	0.192716169	0.063229342	0.261721266	48801872.28	38188304.08	1135566.45	172143.1943	1921060.185	407935.973	3468902.352	766688.1762	63649.58444	3087004.845
sample185	BR5	5	12.56116739	3.586553945	5.127487166	0.148398002	0.035535495	0.465987921	47456936.02	28971108.03	782251.0732	25592.85161	802280.2614	180262.694	5384513.433	1013699.47	67876.69341	3913480.831
sample200	BR5	8	6.155864963	2.885385682	3.889499337	0.051194141	0.011772309	0.299322098	62516902.82	24483588.85	4784825.434	15120.58599	2790588.148	898834.834	1806069.994	1821190.58	60482.34397	1276849.484
sample215	BR5	13	17.55428269	3.529204177	2.502655868	-0.002409006	-0.019699559	0.139121059	102770935.5	8372744.354	10805791.84	60769.9187	10913827.25	1444973.622	7080820.897	1224401.325	202566.3957	4510478.41
sample230	BR5	19	21.34671496	3.259007161	3.337478859	0.038915705	-0.006233414	0.133094611	81343242.5	14178172.3	1502799.841	208855.5689	5922375.73	933848.4633	2950384.991	264070.2596	232861.9562	4551611.019
