SampleID	Subject	Time	Acetate	Propionate	Butyrate	Iso-butyrate	Iso-valerate	Valerate	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample335	HR5	8	12.43270533	3.501322261	5.327671737	0.295682944	0.184848203	0.526117221	52426913.4	4692758.682	35283679.34	2753329.508	5404004.92	821232.7694	62706987.89	29711028.41	16318335.07	7651396.383
sample350	HR5	13	7.283629725	2.65714832	2.259323296	0.067400132	0.025597233	0.153387127	40694827.45	4394528.135	18370677.98	2515359.474	2703810.954	483825.7861	39795339.18	1983418.416	5792544.08	4570950.797
sample365	HR5	19	11.20817941	4.963466668	5.328724385	0.228082323	0.08969546	0.522306898	59637936.05	18478897.49	29707078.15	5243020.517	11214273.45	836961.5582	7847462.828	7289909.886	10124453.41	595481.7129
sample380	HR5	25	18.55705788	7.009489927	4.474581701	0.25238698	0.063823133	0.400249753	85247351.25	4736692.098	29909051.93	47296145.83	7520514.46	2159952.567	48732619.14	10314822.03	14380460.9	8207295.494
sample395	HR5	31	10.92477445	4.936625989	3.703103328	0.122903887	0.026042486	0.345786157	49835446.87	2691975.738	15177261.53	19145611.36	3718323.379	965845.6141	13666897.67	4502662.912	3297724.95	1203480.082
sample106	SR1	25	6.561426757	2.140984673	2.904802191	0.329153448	0.269020621	0.423521925	13757792.34	13203964.27	0	26372.76486	5680034.232	20812506.94	2152676.932	9889.786823	14076463.24	2895509.809
sample121	SR1	31	7.360833855	1.745657576	3.090177435	0.169451125	0.092742833	0.30926841	17181045.87	3214320.605	5022.375946	17076.07822	1651859.449	10522882.08	2056662.95	7533.563919	668478.2384	2099855.383
sample16	SR1	1	2.776962029	1.158223251	3.090047255	0.179586072	0.113862264	0.279921557	18736.93659	23120811.96	17033.57871	13626.86297	4597362.895	17503137.7	1295687.554	6245.645529	12004698.49	1584690.606
sample26	SR1	3	7.680219406	1.879431447	3.237758981	0.141200836	0.090194946	0.327130641	21431.29215	26096662.75	0	5173.07052	6274934.541	19877153.97	472966.4476	5173.07052	24824087.41	805520.981
sample41	SR1	5	4.704916065	2.098680437	4.546386322	0.21386895	0.131003925	0.374477029	9706.924544	7088732.689	0	2677.772288	4422340.933	9916125.504	391958.9186	1673.60768	11242292.23	380913.108
sample56	SR1	8	5.673015235	2.580922293	5.942951751	0.241312232	0.145415036	0.50425256	5287601.109	6376857.695	0	16809.51522	4213136.896	12437024.12	3377367.799	0	17887341.34	638089.1979
sample6	SR1	0	5.233730751	1.52498945	0.859212726	0.257233777	0.236654608	0.274658318	27626.57934	4780289.405	8911.799786	12476.5197	8002350.618	20032834.74	1169228.132	8020.619807	13636390.44	1571150.302
sample71	SR1	13	11.64196908	3.696527799	4.056336979	0.475018805	0.365716859	0.553523009	8239534.185	3769651.56	23192.36644	39248.62013	4758003.176	21990823.45	1445062.832	15164.23959	21150546.18	1273796.126
sample91	SR1	19	4.864546399	2.023220501	3.067058321	0.212605431	0.136993219	0.397301273	6240763.783	3590356.529	6688.443608	14268.6797	3363841.239	16318018.82	909182.4345	5350.754887	13160627.54	751335.1653
sample107	SR2	25	4.032209661	1.52916969	2.341699071	0.260936688	0.208057167	0.312017277	9146388.134	5670628.592	19807.5849	5659.309972	2866440.501	26716659.16	1637427.019	8488.964958	24365215.87	3087153.59
sample122	SR2	31	7.927843516	1.691952335	4.236471583	0.160560177	0.092679517	0.347129558	18531484.36	1686181.596	0	9174.002157	1973633.664	15009890.73	546770.5285	6116.001438	83789.2197	1821345.228
sample17	SR2	1	4.2221545	1.160373267	2.769065818	0.150442365	0.105657664	0.308022906	54491.05003	26276531.99	26850.66233	8686.97899	2277567.946	29478078.61	3495324.455	20532.85943	28213728.31	3015171.435
sample27	SR2	3	3.817851431	1.301380792	2.469197836	0.148690325	0.093963705	0.273018189	73296.84399	19199094.6	14035.56587	26511.62442	3413761.521	25937725.73	4358822.956	7797.536594	27966644.75	8597563.849
sample42	SR2	5	13.59006218	2.748670659	4.490083181	0.350553175	0.240124281	0.663923509	20670.82583	8966216.783	16241.36315	15749.20063	2753157.135	14618211.16	786967.8689	2952.975118	18613094.33	1051751.305
sample57	SR2	8	2.742257575	1.095915996	2.057106308	0.128025528	0.093829783	0.237922457	7418933.464	4551271.217	30823.64906	12754.6134	3061107.217	18543082.12	457040.3137	0	19374257.76	854559.0981
sample7	SR2	0	4.300590629	1.453169133	0.939640815	0.150644419	0.132005804	0.255006258	64388.95045	5834061.133	16888.90504	13722.23534	2709613.702	33034698.25	3442169.958	14777.79191	25823135.8	6179228.13
sample72	SR2	13	6.727046608	2.130584601	2.904993352	0.274488354	0.196248332	0.36711826	8335759.122	4681039.261	14989.20087	11462.33008	2617819.847	22611650.38	1520963.03	5290.306191	24615794.71	1269673.486
sample92	SR2	19	3.696321359	1.685481977	1.527208006	0.146807148	0.118111633	0.233656927	4892596.768	7023104.001	15960.5636	11400.40257	1568239.378	18188658.28	3224489.864	6840.241544	14088617.5	2016047.191
sample108	SR3	25	7.129523163	1.826753071	4.203492747	0.264089323	0.206458968	0.472080935	12759121.83	8218353.341	0	12072.49848	4002033.247	20250107.14	1637332.607	0	15499578.99	2547297.18
sample123	SR3	31	8.273435288	1.564550567	3.139692487	0.154785501	0.083823416	0.35798066	23898759.89	1893493.455	0	20517.73094	2402040.072	11721486.58	2875413.436	0	274058.2633	5895916.541
sample18	SR3	1	5.480970482	1.523209436	4.015196388	0.188459846	0.12418786	0.453818844	0	23373710.29	4225.437233	0	4145153.926	26200527.8	3118372.678	8450.874466	31273869.44	1559186.339
sample28	SR3	3	4.747090623	0.772502761	2.082984241	0.04338163	0.026697702	0.138939805	55504.69421	31915199.17	0	54271.25656	6976323.344	20561405.61	3872994.218	4933.750597	23704204.74	4561252.427
sample43	SR3	5	7.871273181	2.215774195	4.741116369	0.30585507	0.223164664	0.539989642	35151.93961	8951066.852	18440.36176	15559.05524	4089150.221	13205027.81	1310994.469	5186.351746	17533902.73	1378993.303
sample58	SR3	8	7.104650839	2.752292614	6.35147667	0.337279898	0.214334642	0.565852854	4039601.171	5848775.922	9504.222549	11956.92514	2241463.582	4492124.8	1449240.645	3679.05389	5556597.725	728759.258
sample73	SR3	13	12.22143372	3.852017236	5.006038724	0.350854167	0.236983007	0.547557878	5498394.25	3608529.178	4234.652849	21778.21465	2722881.782	14842458.24	2992084.713	4234.652849	13674299	1764640.337
sample8	SR3	0	6.361185496	1.484173863	1.893673187	0.254379185	0.202781929	0.364433335	33005.12459	7829890.138	6908.049332	9210.732443	5344527.5	14928294.61	2269294.206	6140.488295	12453294.04	1472182.069
sample93	SR3	19	3.94366044	1.579313047	3.42952383	0.094632687	0.078498161	0.317891507	11809648.13	10028822	7004.997905	15566.66201	3227747.368	16274166.8	3314142.342	9339.997207	18519657.79	1988641.072
sample109	SR4	25	9.963259297	3.424424635	5.682620114	0.488168245	0.299133593	0.6117985	11206572.42	10808698.43	22880.93281	19067.44401	4677879.596	40124258	5060499.639	7626.977603	26315615.06	3536375.282
sample124	SR4	31	8.963610137	1.638973483	3.563526315	0.152691652	0.108115006	0.307294112	33600959.18	4023341.954	35727.75292	23818.50195	5064408.976	32151007.88	3290923.019	0	2077171.857	4449097.676
sample19	SR4	1	6.694003355	2.294935843	3.650947661	0.308944561	0.206306425	0.483750586	29023.58525	19957983.03	0	15365.42748	2109331.74	31410348.32	2909187.604	23048.14122	20696377.19	3178082.584
sample29	SR4	3	3.721788711	1.387014352	2.541215462	0.12464608	0.094470104	0.276662357	67165.74688	25442956.54	30010.22733	17148.70133	2135013.316	47090333.86	3239675.493	8574.350666	24668406.87	10417836.06
sample44	SR4	5	7.043346363	3.302557932	5.098838989	0.198368601	0.119904439	0.331654546	81424.89092	7876911.395	0	7101.007929	3303388.888	15514755.52	1781879.59	4260.604757	13492388.47	1312739.666
sample59	SR4	8	5.491471363	2.308875024	3.315285497	0.311997171	0.212881579	0.39782072	6733910.121	3309763.313	5351.274557	7358.002516	1476951.778	24969047.08	7169370.088	10702.54911	21219810.35	4108441.041
sample74	SR4	13	9.227872835	4.397295432	4.729031927	0.400854426	0.224468708	0.457421282	2705472.834	1812796.988	3166.764925	2814.902156	1146720.766	8042175.459	1486620.201	2814.902156	7022125.29	608018.8656
sample9	SR4	0	6.54389096	1.863629646	0.808969095	0.290258203	0.247829641	0.277486229	63474.28748	2965901.296	0	13042.66181	4257124.815	34685654.82	1885099.387	6956.086299	17445864.44	3366745.769
sample94	SR4	19	10.14824783	2.725402461	3.66936572	0.327753833	0.200476799	0.500091299	9258013.91	11670051.11	0	16188.1691	3067658.045	40206555.6	8450224.272	0	33074048.29	5573586.622
sample10	SR5	0	11.9158883	1.413701404	1.783506366	0.146298178	0.078618492	0.141096284	89969.1362	5492560.229	0	11107.30077	4650626.831	28235869.28	1487267.573	13328.76092	14852682.58	5594747.396
sample110	SR5	25	6.54672592	1.829929519	3.701260329	0.216943558	0.161769089	0.408245599	13260601.25	7674399.475	0	28071.36569	2411018.409	19980574.29	4226300.057	12476.16253	26653761.72	6035343.623
sample125	SR5	31	9.71566941	1.851531166	5.717651682	0.179347451	0.108451577	0.469197736	21078063.11	3900786.428	0	10731.18687	1747171.363	6231466.077	1750524.858	0	282364.3546	2249525.048
sample20	SR5	1	8.567149169	2.813580481	4.848191606	0.380114287	0.195726012	0.413095702	25541.3943	15829897.05	0	6179.369588	2413249.803	10862507.82	279719.4633	4531.537698	9059367.774	608461.9254
sample30	SR5	3	6.839395378	1.843253499	2.879551496	0.251570295	0.164412924	0.340143759	100688.1195	26519211.41	42059.59421	38235.99473	4030073.845	26209499.86	2285237.952	0	30595168.45	8048676.891
sample45	SR5	5	7.550880147	3.040372879	6.014178454	0.142192038	0.101853475	0.456581698	32405.41754	6212118.542	4050.677192	7291.218946	6349436.498	11677292.21	172963.9161	6076.015788	16992185.75	599095.1567
sample60	SR5	8	5.077495427	2.058436639	2.887533825	0.15972268	0.102487195	0.304165953	5266703.648	5246944.745	0	6373.839584	2146709.172	11795427.53	233282.5288	0	12703062.29	523929.6138
sample75	SR5	13	4.553003703	1.609220973	3.484026506	0.238304291	0.145149031	0.308404344	4830185.509	4380160.792	5585.41316	14362.49098	3708714.338	7820775.299	940344.2013	8378.11974	13320013.51	810283.8663
sample95	SR5	19	12.8293921	3.742695472	6.940790224	0.662271339	0.527458455	0.775844764	13611722.84	12894486.72	7881.715599	0	4504963.445	21047558.53	2850929.128	15763.4312	24773358.09	2639248.766
