Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample491	52	GC1	Guangdong	6	19	Control	11473630.88	95345.86226	1841626.057	34200.14625	27981.93784	1353496.697	1370078.586	6485591.37	33163.77818	4376582.351	25909.2017	611457.1601	3337105.179	6250335.818	641511.8341
sample506	53	GC1	Guangdong	6	25	Control	16518469.13	1428098.509	408584.0421	1361946.807	93390.63819	608984.7865	3105238.72	2282233.721	356051.8081	6823353.503	939743.2968	116738.2977	5231821.377	2218027.657	5387472.44
sample521	54	GC1	Guangdong	6	31	Control	49449491.43	4129345.916	2862310.761	56732.9174	2909588.192	590292.4977	5944799.273	74293.10612	537611.9315	8917874.301	468721.9604	168847.9684	2272018.263	5100559.431	960407.2445
sample402	55	GC2	Guangdong	7	0	Control	40685475.58	329917.9012	1075532.358	616946.4753	62684.40124	1332868.321	5446944.55	21744888.87	273831.858	8878090.723	326618.7222	389303.1235	3850141.908	3599404.303	600450.5803
sample417	56	GC2	Guangdong	7	1	Control	27413911.94	1248915.597	1128745.024	525746.2564	30042.64323	2178091.634	4042881.417	8594341.866	257508.3705	4871200.009	160942.7316	450639.6484	2547186.965	4268201.241	77252.51115
sample432	57	GC2	Guangdong	7	3	Control	13434800.97	832564.2393	825121.1362	971856.596	45721.91863	2929392.694	1591760.749	4821004.165	18076.10737	4705104.417	135039.155	456155.8859	1680014.685	2686960.195	142482.2581
sample447	58	GC2	Guangdong	7	5	Control	21550958.42	271639.323	648312.5175	133103.2682	46178.6849	1505787.314	1803685.104	7201158.452	34407.64757	3387342.357	113183.0512	520642.0357	2329759.927	3438953.829	91451.9054
sample462	59	GC2	Guangdong	7	8	Control	25201224.54	2430568.221	841146.4259	37148.4226	42455.34011	1975500.045	1941005.081	4049178.063	38475.15198	4132762.014	172474.8192	1069343.879	1872015.153	6254202.29	248098.3938
sample477	60	GC2	Guangdong	7	13	Control	39369760.16	380007.8768	443735.9059	33044.1632	40125.05532	632559.6956	2829996.548	1045611.736	37764.75794	7043127.357	0	682125.9404	4031387.911	2893724.578	1503509.426
sample492	61	GC2	Guangdong	7	19	Control	14241352.89	192625.9203	1503963.916	55565.1693	114834.6832	1029807.804	4941595.723	17767888.97	72234.7201	16728820.31	75939.06472	1713259.387	7942114.866	5004569.582	6301090.199
sample507	62	GC2	Guangdong	7	25	Control	16574122.55	3414371.206	292468.732	580912.6649	36223.19158	673483.0434	2920662.521	14003617.54	296493.5311	6329667.328	453460.6946	93911.97817	3450594.398	1023640.562	2661733.781
sample522	63	GC2	Guangdong	7	31	Control	86600323.79	7442123.038	4347144.886	649709.1541	5941885.536	750118.7506	22763446.18	100409.5965	850528.3472	17931972.65	968657.2843	502047.9827	3738780.859	9987801.632	2516146.36
sample403	64	GC3	Guangdong	8	0	Control	11684888.5	159088.1324	661968.4153	82240.47522	86285.08875	3013237.084	3374555.893	6914940.941	318176.2648	7984067.118	424684.4212	474567.9881	3963721.264	3907096.675	4272460.098
sample418	65	GC3	Guangdong	8	1	Control	27714791.66	1718930.218	1227346.295	718551.5555	140913.5535	5340731.247	2442860.153	12087371	329156.8503	4715763.502	345291.99	461464.9959	1368259.848	5286947.448	13983.78776
sample433	66	GC3	Guangdong	8	3	Control	33259391.97	19743079.95	1612103.043	189752.9794	2419749.128	792497.7375	1906299.89	3894719.766	24715.72421	1992406.284	5789857.716	656959.8951	1670304.588	10257025.55	153875.3152
sample448	67	GC3	Guangdong	8	5	Control	4385109.08	85601.06457	645898.9417	50582.44725	77819.14961	2836508.003	4163324.504	2202281.934	35018.61732	11311013.4	441623.674	513606.3874	11314904.35	3291750.028	2110844.433
sample463	68	GC3	Guangdong	8	8	Control	6989518.556	109366.5777	654542.3968	43083.80333	84510.53731	1531132.088	6956377.169	3108662.118	56340.35821	8900119.527	203819.5312	1019097.656	8011930.351	6499026.026	611458.5935
sample478	69	GC3	Guangdong	8	13	Control	26913034.52	423708.5477	1039388.606	45250.42743	37023.07699	2688972.369	1501491.456	773370.9415	53477.77787	2812382.626	46621.6525	436049.5734	2165164.391	9661651.868	60333.90324
sample493	70	GC3	Guangdong	8	19	Control	33596395.36	119737.1257	8322651.289	77368.60428	71842.27541	3868430.214	1464477.153	24715584.85	99473.91979	7595017.987	31315.86364	2206847.332	3092902.062	12135818.21	55263.28877
sample508	71	GC3	Guangdong	8	25	Control	45594852.62	7040006.003	793575.9065	5282558.931	180512.9744	1277214.442	8283161.393	20833921.97	967277.0706	11787837.82	1028583.364	214572.0262	13800727.78	3743089.791	1294243.968
sample523	72	GC3	Guangdong	8	31	Control	93357082.82	9972875.96	1172287.322	5785533.115	12066547.38	832830.022	1857527.214	21202376.46	364758.4653	6881916.942	761143.3872	510240.1654	2863248.531	1334636.466	3862644.558
sample404	73	GC4	Guangdong	9	0	Control	10603456.04	2003232.991	760520.8295	4050829.696	36969.76255	476909.9369	474797.379	6663007.49	81861.61707	1246409.137	27463.25218	524970.6282	730945.0195	1131274.734	33800.92576
sample419	74	GC4	Guangdong	9	1	Control	20373494.47	369405.1027	1058693.609	124473.4585	69598.06282	1404007.075	1837656.543	7410855.266	338621.3441	4711253.483	95028.12423	373420.3755	1891193.515	4838403.79	30783.75855
