Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample491	52	GC1	Guangdong	6	19	Control	11473630.88	95345.86226	1841626.057	34200.14625	27981.93784	1353496.697	1370078.586	6485591.37	33163.77818	4376582.351
sample506	53	GC1	Guangdong	6	25	Control	16518469.13	1428098.509	408584.0421	1361946.807	93390.63819	608984.7865	3105238.72	2282233.721	356051.8081	6823353.503
sample521	54	GC1	Guangdong	6	31	Control	49449491.43	4129345.916	2862310.761	56732.9174	2909588.192	590292.4977	5944799.273	74293.10612	537611.9315	8917874.301
sample402	55	GC2	Guangdong	7	0	Control	40685475.58	329917.9012	1075532.358	616946.4753	62684.40124	1332868.321	5446944.55	21744888.87	273831.858	8878090.723
sample417	56	GC2	Guangdong	7	1	Control	27413911.94	1248915.597	1128745.024	525746.2564	30042.64323	2178091.634	4042881.417	8594341.866	257508.3705	4871200.009
sample432	57	GC2	Guangdong	7	3	Control	13434800.97	832564.2393	825121.1362	971856.596	45721.91863	2929392.694	1591760.749	4821004.165	18076.10737	4705104.417
sample447	58	GC2	Guangdong	7	5	Control	21550958.42	271639.323	648312.5175	133103.2682	46178.6849	1505787.314	1803685.104	7201158.452	34407.64757	3387342.357
sample462	59	GC2	Guangdong	7	8	Control	25201224.54	2430568.221	841146.4259	37148.4226	42455.34011	1975500.045	1941005.081	4049178.063	38475.15198	4132762.014
sample477	60	GC2	Guangdong	7	13	Control	39369760.16	380007.8768	443735.9059	33044.1632	40125.05532	632559.6956	2829996.548	1045611.736	37764.75794	7043127.357
sample492	61	GC2	Guangdong	7	19	Control	14241352.89	192625.9203	1503963.916	55565.1693	114834.6832	1029807.804	4941595.723	17767888.97	72234.7201	16728820.31
sample507	62	GC2	Guangdong	7	25	Control	16574122.55	3414371.206	292468.732	580912.6649	36223.19158	673483.0434	2920662.521	14003617.54	296493.5311	6329667.328
