Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Ruminococcaceae	Erysipelotrichaceae	Rikenellaceae	Peptostreptococcaceae	Desulfovibrionaceae
24744704.2077531	9727453.66194778	2993746.47451361	2037896.27059133	1166083.72961323	1038981.34623058	113198.375235991	33623.3423585141	105.897685276281	1358.66092604719
28595334.8853475	12192978.3654539	3715015.46992935	2747102.02288721	1265222.32391206	1087003.30966056	142749.674089868	35871.3450661615	7.20747081214991	1559.78539492856
33997421.608547	14891423.2818509	4623627.1513846	3596865.7328985	1372789.2404133	1137252.0837566	169727.219078113	38269.1091592204	0.30058993231308	1790.68109836622
40951518.2105626	17689065.1533084	5712725.12323147	4549436.28570298	1489500.71818537	1189829.99333973	191690.747250143	40826.494651651	0.00854308471564123	2055.75442130522
49139503.5380633	20403045.7553391	6935119.94555301	5541974.52229868	1616133.79784	1244843.32069484	207590.310863197	43553.9948921273	0.000188547032525939	2360.06391670206
57755287.7619695	22813176.2193385	8187032.89203158	6482383.09608257	1753531.48978005	1302403.02860631	217596.68337339	46462.7781017698	3.68218291625981e-06	2709.41674278935
65404706.9856176	24688816.0745183	9304729.06524024	7259788.00283931	1902608.37952828	1362624.9994601	222818.168011872	49564.7337405447	7.23007266414938e-08	3110.47944164466
74395657.857108	26170525.176863	10843910.888918	8019452.38813786	2430269.50200449	1560517.67211886	216659.739288886	60161.9734377796	8.03422916607933e-13	4706.2938310438
69021265.9129277	24197519.2018332	10318361.0676807	7319916.49949908	2861032.76664153	1708165.22893734	199342.632797614	68452.054698835	5.17288453222605e-16	6202.66447821751
58656264.6525899	20987305.2433067	9038406.1332521	6130979.27765826	3368141.58489437	1869781.50521457	177057.780431806	77881.0413585684	2.22044604925031e-16	8174.78826582159
42092796.2226413	15902406.9641765	6821343.17564664	4312486.39320147	4302201.16917583	2141322.74387913	143080.38713068	94510.5929138334	2.22044604925031e-16	12368.664809012
46285807.1725021	10472556.4335687	2613338.97814304	2546320.05746804	2508807.11911309	2466494.09580291	107114.145625473	125750.488709402	18073.5413310694	4455.22949603192
46752987.4571572	11210932.4996267	2821300.1967372	2625752.59212668	2505409.28278495	2421356.31123179	106875.043125664	122175.526357728	12550.4265703229	4431.13194839143
47224879.7644945	11994605.9278285	3044582.76078842	2707662.87200162	2502015.94264139	2377044.55210562	106636.455607987	118702.15982881	8763.75867527438	4408.10347146304
47701528.1457183	12818602.0969929	3282888.49692473	2792128.02069514	2498626.9873022	2333543.68930823	106398.363300842	115327.467164355	6188.07712451256	4387.06297526627
48182976.9914506	13676060.1931376	3535568.65995481	2879227.55225111	2495242.30596654	2290838.87129359	106160.746601819	112048.612437245	4442.94669744182	4368.91347076926
