sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv
286	1	4	60	1	1	0
287	1	4	60.5	1	1	0
288	1	4	61	1	1	0
289	1	4	62	1	1	0
290	1	4	63	1	1	0
291	1	4	64	1	1	0
292	1	4	64.5	1	1	0
293	1	5	0	0	1	0
294	1	5	1	0	1	0
295	1	5	1.5	0	1	0
296	1	5	2	0	1	0
297	1	5	2.5	0	1	0
298	1	5	3	0	1	0
299	1	5	3.5	0	1	0
300	1	5	4	0	1	0
301	1	5	4.5	0	1	0
302	1	5	5	0	1	0
303	1	5	6	0	1	0
304	1	5	7	0	1	0
305	1	5	8	0	1	0
306	1	5	9	0	1	0
307	1	5	10	0	1	0
308	1	5	11	0	1	0
309	1	5	14	0	1	0
310	1	5	16	0	1	0
311	1	5	18	0	1	0
312	1	5	21	0	1	0
313	1	5	21.5	1	1	0
314	1	5	22	1	1	0
315	1	5	22.5	1	1	0
316	1	5	23	1	1	0
317	1	5	23.5	1	1	0
318	1	5	24	1	1	0
319	1	5	25	1	1	0
320	1	5	29	1	1	0
321	1	5	29.5	1	1	0
322	1	5	30	1	1	0
323	1	5	30.5	1	1	0
324	1	5	31	1	1	0
325	1	5	31.5	1	1	0
326	1	5	32	1	1	0
327	1	5	33	1	1	0
328	1	5	35	1	1	0
329	1	5	35.5	1	1	0
330	1	5	36	1	1	0
331	1	5	36.5	1	1	0
332	1	5	37	1	1	0
333	1	5	37.5	1	1	0
334	1	5	38	1	1	0
335	1	5	39	1	1	0
336	1	5	42	1	1	0
337	1	5	42.5	1	1	0
338	1	5	43	1	1	0
339	1	5	43.5	1	1	0
340	1	5	44	1	1	0
341	1	5	44.5	1	1	0
342	1	5	45	1	1	0
343	1	5	45.5	1	1	0
344	1	5	46	1	1	0
345	1	5	47	1	1	0
346	1	5	50	1	1	0
347	1	5	50.5	1	1	0
348	1	5	51	1	1	0
349	1	5	51.5	1	1	0
350	1	5	52	1	1	0
351	1	5	52.5	1	1	0
352	1	5	53	1	1	0
353	1	5	54	1	1	0
354	1	5	57	1	1	0
355	1	5	58	1	1	0
356	1	5	58.5	1	1	0
357	1	5	59	1	1	0
358	1	5	59.5	1	1	0
359	1	5	60	1	1	0
360	1	5	60.5	1	1	0
361	1	5	61	1	1	0
362	1	5	62	1	1	0
363	1	5	63	1	1	0
364	1	5	64	1	1	0
365	1	5	64.5	1	1	0
