Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
2-D58AM	65	2	1	58	H2	29445483.67	20094.03	5051329.408	11730280	4493334.699	9867714.441	3946158.152	817672.475	0	981516.1
2-D58PM	66	2	1	58.5	H2	45222920.71	19940.54	6553789.499	11880130	4471111.642	10497585.12	5545684.909	1154335.49	0	790974.6
2-D59AM	67	2	1	59	H2	45328654.59	20515.34	5963127.243	13485420	5026260.115	12131406.89	3477351.051	1025767.269	0	1292467
2-D59PM	68	2	1	59.5	H2	78559261.68	14676.66	13478063.77	10733530	7436171.552	14911483.62	6790399.788	699587.307	0	1565510
2-D60AM	69	2	1	60	H2	128899885	135189.8	28546385.92	38657160	14102426.45	31278642.09	8879832.78	2049192.22	0	6232960
2-D60PM	70	2	1	60.5	H2	23114958.09	14246.276	3197914.431	5828975.8	1696806.392	2058211.923	1155448.216	381650.227	0	445383.6
2-D61	71	2	1	61	H2	34287935.32	39740.96	7404593.203	8674885	3656168.303	9720923.795	2638516.609	478310.891	8515.921	1338419
2-D62	72	2	1	62	H2	108975431.2	56304.82	24789476.92	14895190	8804027.05	17751375.16	8379181.86	1028842.66	10237.24	1602128
2-D63	73	2	1	63	H2	3853349.12	3860.72	1613429.796	1496204	496979.8825	1345285.245	286746.1881	81777.0621	0	104590.4
2-D64AM	74	2	1	64	H2	42775020.36	16260.73	15410528.2	9324368	4348584.157	7463676.094	2346191.118	336829.446	4645.923	1084823
2-D64PM	75	2	1	64.5	H2	138558398.5	202176.7	59515751.95	20301910	13857525.72	20638864.77	8887348.97	1465780.85	0	2485088
3-D0AM	76	3	2	0	H1	13061.36824	22.25105	1208.973859	192.8425	81.58719	0	0	875.20808	89.00422	0
3-D0PM	77	3	2	0.5	H1	132427.607	3848.811	1140.3883	0	13542.108	5559.393	1282.937	4133.9074	7269.9756	0
3-D1AM	78	3	2	1	H1	44960934.45	634070.975	17683.258	0	12138291.75	409241.04	0	10104.72	14500267.1	2526.179
3-D1PM	79	3	2	1.5	H1	17430112.93	25009.67	24465.983	9242.706	768775.697	1631.066	0	183223.05	4610478.81	0
3-D2AM	80	3	2	2	H1	7598104.559	330260.5177	257679.9777	1152.072	572387.5588	1344.0836	221005.7	131720.1954	1123462.04	434139.0148
3-D2PM	81	3	2	2.5	H1	24554420.15	4449847.291	2087647.606	2631.489	1879760.104	49121.124	773657.6	592962.073	4270029.2	1995545.68
3-D3AM	82	3	2	3	H1	7575684.269	1556360.899	525757.3246	995.7524	680596.877	18670.358	502606	253667.9447	719431.184	352247.4105
