Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample439	75	GR4	Guangdong	9	3	Resistant starch	38426277.28	7535449.658	5025190.338	910981.2047	275630.2107	1689597.619	2623937.316	21450882.21	46716.98486	2855965.008	283416.3748	914095.6704	2695570.026	5207386.579	147937.1187
sample454	76	GR4	Guangdong	9	5	Resistant starch	87716144.19	19864158.84	4310355.914	750499.5865	2574574.785	1025415.21	3933099.437	24766486.36	70233.91853	4739786.159	260868.8402	24678192.29	1252170.433	782606.5207	100334.1693
sample469	77	GR4	Guangdong	9	8	Resistant starch	67964000.32	14553653.64	5616076.442	448159.3148	774675.3871	1901475.95	1532704.857	10635460.77	53779.11778	2558349.46	139569.6152	5075724.354	1888671.398	2665907.696	194629.1882
sample484	78	GR4	Guangdong	9	13	Resistant starch	58902349.6	4417726.836	5114197.061	182216.0473	299644.1667	2223035.777	3148288.373	8900241.6	52640.19144	3107795.918	56689.43694	2194691.059	1816086.605	1706756.976	1684486.126
sample499	79	GR4	Guangdong	9	19	Resistant starch	86359757.91	26003370.22	6950032.439	105691.7375	5111636.761	3862552.59	1468474.596	9784492.673	67258.37844	2272372.357	24020.84944	11864698.23	725429.6531	2121841.701	108894.5175
sample514	80	GR4	Guangdong	9	25	Resistant starch	35007438.6	5408968.078	2905104.189	52876.62871	121305.207	889571.5184	11570650.52	1940883.313	385688.3506	14889436.57	961110.4866	49766.23879	16553495.18	10146091.93	9312507.433
sample529	81	GR4	Guangdong	9	31	Resistant starch	55214641.76	4503337.927	27917974.1	12843356.51	3147347.957	3333286.381	12693698.75	7247063.452	10326385.16	23473592.26	32022224.68	222219.0921	14339934.06	90701.67024	2353708.343
sample410	82	GR5	Guangdong	10	0	Resistant starch	17670270.75	5634964.617	739172.8436	10726195	330826.2505	956448.1699	468397.5626	15710425.48	231469.1918	605968.8747	27295.89526	173601.8938	301346.6837	2337620.47	26204.05945
sample425	83	GR5	Guangdong	10	1	Resistant starch	59408398.67	19983461.35	1551958.167	2115942.965	237993.585	1433961.348	2715926.793	6357828.627	95997.41242	4775871.268	291992.1294	449987.8707	3181914.233	3707900.055	739980.0541
sample440	84	GR5	Guangdong	10	3	Resistant starch	50837337.54	7831752.467	3224565.41	454666.8264	252937.5178	1536246.273	3043009.033	12604978.26	29483.51434	4163382.577	287076.3238	355353.936	3252497.161	5547555.987	142762.28
sample455	85	GR5	Guangdong	10	5	Resistant starch	41218975.87	4479380.052	2495325.249	105780.0921	1215114.904	596708.2116	28273119.99	6169149.215	31191.56561	7959273.85	6896048.309	3064910.36	3269689.769	1505332.079	1121540.207
sample470	86	GR5	Guangdong	10	8	Resistant starch	69078028.23	20747286.68	8114476.05	244957.5469	1452248.314	2177857.854	780158.9099	4733444.362	55578.60308	1733229.029	128654.1738	3506598.161	2180945.554	1772339.898	65870.93698
sample485	87	GR5	Guangdong	10	13	Resistant starch	49984105.16	2823566.858	3989595.394	62745.93018	156864.8255	1570391.197	7557398.702	4946470.829	55774.16016	9305570.035	50545.33265	2774764.468	13223704.79	2717247.365	5432751.788
