parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
interaction	Clostridiales_Incertae_Sedis_XIII	Porphyromonadaceae	0	0	0
interaction	Clostridiales_Incertae_Sedis_XIII	Prevotellaceae	0	0.00026674	1.343e-06
interaction	Clostridiales_Incertae_Sedis_XIII	Acidaminococcaceae	0	0.001246	1.8221e-06
interaction	Clostridiales_Incertae_Sedis_XIII	Ruminococcaceae	0	0.27342	1.9197e-05
interaction	Clostridiales_Incertae_Sedis_XIII	Enterobacteriaceae	0	4.4446e-05	2.8132e-07
interaction	Clostridiales_Incertae_Sedis_XIII	Desulfovibrionaceae	0	0.00084516	1.4152e-06
interaction	Clostridiales_Incertae_Sedis_XIII	Erysipelotrichaceae	0	0.00026674	4.0648e-07
interaction	Clostridiales_Incertae_Sedis_XIII	Rikenellaceae	0	0.002004	1.2464e-06
interaction	Clostridiales_Incertae_Sedis_XIII	Barnesiellaceae	0	0.00022227	1.1924e-06
interaction	Clostridiales_Incertae_Sedis_XIII	Erysipelatoclostridiaceae	0	0	0
interaction	Clostridiales_Incertae_Sedis_XIII	Clostridiales_Incertae_Sedis_XIII	-2.1829e-05	266.0736	9.9799e-06
perturbation	Perturbation1	Bacteroidaceae	0	0.0026738	0.027872
perturbation	Perturbation1	Akkermansiaceae	0	0.016582	0.10518
perturbation	Perturbation1	Lachnospiraceae	0	0.00044464	0.0069026
perturbation	Perturbation1	Sutterellaceae	0	0.0030314	0.034527
perturbation	Perturbation1	Porphyromonadaceae	0	8.8897e-05	0.0016995
perturbation	Perturbation1	Prevotellaceae	0	0.0017809	0.073613
perturbation	Perturbation1	Acidaminococcaceae	0	0.00062261	0.019454
perturbation	Perturbation1	Ruminococcaceae	0	0.012419	0.087541
perturbation	Perturbation1	Enterobacteriaceae	0	0.00053362	0.012136
perturbation	Perturbation1	Desulfovibrionaceae	0	0.0086068	0.13902
perturbation	Perturbation1	Erysipelotrichaceae	0	0.00075613	0.016727
perturbation	Perturbation1	Rikenellaceae	0	0.00022227	0.00245
perturbation	Perturbation1	Barnesiellaceae	0	0.0028079	0.10796
perturbation	Perturbation1	Erysipelatoclostridiaceae	0	0.00031121	0.0071454
perturbation	Perturbation1	Clostridiales_Incertae_Sedis_XIII	0	0.0010233	0.031798
